"time","ticker","curr"
"2009-11-09","SMUG",NA
"2009-11-09","SSS",NA
"2009-11-09","STFP",NA
"2009-11-09","SWNC",NA
"2009-11-09","TAG",NA
"2009-11-09","TNAH",NA
"2009-11-09","TNPT",NA
"2009-11-09","TPEG",NA
"2009-11-09","TPP",NA
"2009-11-09","TSRC",NA
"2009-11-09","UNIB",NA
"2009-11-09","VPTS",NA
"2009-11-09","YIPP",NA
"2009-11-10","AAVL",NA
"2009-11-10","ACFI",NA
"2009-11-10","BB",NA
"2009-11-10","BOTT",NA
"2009-11-10","BUZZ",NA
"2009-11-10","CHIA",NA
"2009-11-10","CHPS",NA
"2009-11-10","COFL",NA
"2009-11-10","CYBU",NA
"2009-11-10","DROO",NA
"2009-11-10","EEEEE",NA
"2009-11-10","FAER",NA
"2009-11-10","FISH",NA
"2009-11-10","HELT",NA
"2009-11-10","HUW",NA
"2009-11-10","KAUF",NA
"2009-11-10","KBAT",NA
"2009-11-10","KSON",NA
"2009-11-10","LDSC",NA
"2009-11-10","LUPE",NA
"2009-11-10","MPC",NA
"2009-11-10","MYNC",NA
"2009-11-10","NAKR",NA
"2009-11-10","NATN",NA
"2009-11-10","PDSS",NA
"2009-11-10","PEOP",NA
"2009-11-10","POWR",NA
"2009-11-10","SHRX",NA
"2009-11-10","SKBD",NA
"2009-11-10","SKEI",NA
"2009-11-10","SMUG",NA
"2009-11-10","SSS",NA
"2009-11-10","STFP",NA
"2009-11-10","SWNC",NA
"2009-11-10","TAG",NA
"2009-11-10","TNAH",NA
"2009-11-10","TNPT",NA
"2009-11-10","TPEG",NA
"2009-11-10","TPP",NA
"2009-11-10","TSRC",NA
"2009-11-10","UNIB",NA
"2009-11-10","VPTS",NA
"2009-11-10","YIPP",NA
"2009-11-11","AAVL",NA
"2009-11-11","ACFI",NA
"2009-11-11","BB",NA
"2009-11-11","BOTT",NA
"2009-11-11","BUZZ",NA
"2009-11-11","CHIA",NA
"2009-11-11","CHPS",NA
"2009-11-11","COFL",NA
"2009-11-11","CYBU",NA
"2009-11-11","DROO",NA
"2009-11-11","EEEEE",NA
"2009-11-11","FAER",NA
"2009-11-11","FISH",NA
"2009-11-11","HELT",NA
"2009-11-11","HUW",NA
"2009-11-11","KAUF",NA
"2009-11-11","KBAT",NA
"2009-11-11","KSON",NA
"2009-11-11","LDSC",NA
"2009-11-11","LUPE",NA
"2009-11-11","MPC",NA
"2009-11-11","MYNC",NA
"2009-11-11","NAKR",NA
"2009-11-11","NATN",NA
"2009-11-11","PDSS",NA
"2009-11-11","PEOP",NA
"2009-11-11","POWR",NA
"2009-11-11","SHRX",NA
"2009-11-11","SKBD",NA
"2009-11-11","SKEI",NA
"2009-11-11","SMUG",NA
"2009-11-11","SSS",NA
"2009-11-11","STFP",NA
"2009-11-11","SWNC",NA
"2009-11-11","TAG",NA
"2009-11-11","TNAH",NA
"2009-11-11","TNPT",NA
"2009-11-11","TPEG",NA
"2009-11-11","TPP",NA
"2009-11-11","TSRC",NA
"2009-11-11","UNIB",NA
"2009-11-11","VPTS",NA
"2009-11-11","YIPP",NA
"2009-11-12","AAVL",NA
"2009-11-12","ACFI",NA
"2009-11-12","BB",NA
"2009-11-12","BOTT",NA
"2009-11-12","BUZZ",NA
"2009-11-12","CHIA",NA
"2009-11-12","CHPS",NA
"2009-11-12","COFL",NA
"2009-11-12","CYBU",NA
"2009-11-12","DROO",NA
"2009-11-12","EEEEE",NA
"2009-11-12","FAER",NA
"2009-11-12","FISH",NA
"2009-11-12","HELT",NA
"2009-11-12","HUW",NA
"2009-11-12","KAUF",NA
"2009-11-12","KBAT",NA
"2009-11-12","KSON",NA
"2009-11-12","LDSC",NA
"2009-11-12","LUPE",NA
"2009-11-12","MPC",NA
"2009-11-12","MYNC",NA
"2009-11-12","NAKR",NA
"2009-11-12","NATN",NA
"2009-11-12","PDSS",NA
"2009-11-12","PEOP",NA
"2009-11-12","POWR",NA
"2009-11-12","SHRX",NA
"2009-11-12","SKBD",NA
"2009-11-12","SKEI",NA
"2009-11-12","SMUG",NA
"2009-11-12","SSS",NA
"2009-11-12","STFP",NA
"2009-11-12","SWNC",NA
"2009-11-12","TAG",NA
"2009-11-12","TNAH",NA
"2009-11-12","TNPT",NA
"2009-11-12","TPEG",NA
"2009-11-12","TPP",NA
"2009-11-12","TSRC",NA
"2009-11-12","UNIB",NA
"2009-11-12","VPTS",NA
"2009-11-12","YIPP",NA
"2009-11-13","AAVL",NA
"2009-11-13","ACFI",NA
"2009-11-13","BB",NA
"2009-11-13","BOTT",NA
"2009-11-13","BUZZ",NA
"2009-11-13","CHIA",NA
"2009-11-13","CHPS",NA
"2009-11-13","COFL",NA
"2009-11-13","CYBU",NA
"2009-11-13","DROO",NA
"2009-11-13","EEEEE",NA
"2009-11-13","FAER",NA
"2009-11-13","FISH",NA
"2009-11-13","HELT",NA
"2009-11-13","HUW",NA
"2009-11-13","KAUF",NA
"2009-11-13","KBAT",NA
"2009-11-13","KSON",NA
"2009-11-13","LDSC",NA
"2009-11-13","LUPE",NA
"2009-11-13","MPC",NA
"2009-11-13","MYNC",NA
"2009-11-13","NAKR",NA
"2009-11-13","NATN",NA
"2009-11-13","PDSS",NA
"2009-11-13","PEOP",NA
"2009-11-13","POWR",NA
"2009-11-13","SHRX",NA
"2009-11-13","SKBD",NA
"2009-11-13","SKEI",NA
"2009-11-13","SMUG",NA
"2009-11-13","SSS",NA
"2009-11-13","STFP",NA
"2009-11-13","SWNC",NA
"2009-11-13","TAG",NA
"2009-11-13","TNAH",NA
"2009-11-13","TNPT",NA
"2009-11-13","TPEG",NA
"2009-11-13","TPP",NA
"2009-11-13","TSRC",NA
"2009-11-13","UNIB",NA
"2009-11-13","VPTS",NA
"2009-11-13","YIPP",NA
"2009-11-14","AAVL",NA
"2009-11-14","ACFI",NA
"2009-11-14","BB",NA
"2009-11-14","BOTT",NA
"2009-11-14","BUZZ",NA
"2009-11-14","CHIA",NA
"2009-11-14","CHPS",NA
"2009-11-14","COFL",NA
"2009-11-14","CYBU",NA
"2009-11-14","DROO",NA
"2009-11-14","EEEEE",NA
"2009-11-14","FAER",NA
"2009-11-14","FISH",NA
"2009-11-14","HELT",NA
"2009-11-14","HUW",NA
"2009-11-14","KAUF",NA
"2009-11-14","KBAT",NA
"2009-11-14","KSON",NA
"2009-11-14","LDSC",NA
"2009-11-14","LUPE",NA
"2009-11-14","MPC",NA
"2009-11-14","MYNC",NA
"2009-11-14","NAKR",NA
"2009-11-14","NATN",NA
"2009-11-14","PDSS",NA
"2009-11-14","PEOP",NA
"2009-11-14","POWR",NA
"2009-11-14","SHRX",NA
"2009-11-14","SKBD",NA
"2009-11-14","SKEI",NA
"2009-11-14","SMUG",NA
"2009-11-14","SSS",NA
"2009-11-14","STFP",NA
"2009-11-14","SWNC",NA
"2009-11-14","TAG",NA
"2009-11-14","TNAH",NA
"2009-11-14","TNPT",NA
"2009-11-14","TPEG",NA
"2009-11-14","TPP",NA
"2009-11-14","TSRC",NA
"2009-11-14","UNIB",NA
"2009-11-14","VPTS",NA
"2009-11-14","YIPP",NA
"2009-11-15","AAVL",NA
"2009-11-15","ACFI",NA
"2009-11-15","BB",NA
"2009-11-15","BOTT",NA
"2009-11-15","BUZZ",NA
"2009-11-15","CHIA",NA
"2009-11-15","CHPS",NA
"2009-11-15","COFL",NA
"2009-11-15","CYBU",NA
"2009-11-15","DROO",NA
"2009-11-15","EEEEE",NA
"2009-11-15","FAER",NA
"2009-11-15","FISH",NA
"2009-11-15","HELT",NA
"2009-11-15","HUW",NA
"2009-11-15","KAUF",NA
"2009-11-15","KBAT",NA
"2009-11-15","KSON",NA
"2009-11-15","LDSC",NA
"2009-11-15","LUPE",NA
"2009-11-15","MPC",NA
"2009-11-15","MYNC",NA
"2009-11-15","NAKR",NA
"2009-11-15","NATN",NA
"2009-11-15","PDSS",NA
"2009-11-15","PEOP",NA
"2009-11-15","POWR",NA
"2009-11-15","SHRX",NA
"2009-11-15","SKBD",NA
"2009-11-15","SKEI",NA
"2009-11-15","SMUG",NA
"2009-11-15","SSS",NA
"2009-11-15","STFP",NA
"2009-11-15","SWNC",NA
"2009-11-15","TAG",NA
"2009-11-15","TNAH",NA
"2009-11-15","TNPT",NA
"2009-11-15","TPEG",NA
"2009-11-15","TPP",NA
"2009-11-15","TSRC",NA
"2009-11-15","UNIB",NA
"2009-11-15","VPTS",NA
"2009-11-15","YIPP",NA
"2009-11-16","AAVL",NA
"2009-11-16","ACFI",NA
"2009-11-16","BB",NA
"2009-11-16","BOTT",NA
"2009-11-16","BUZZ",NA
"2009-11-16","CHIA",NA
"2009-11-16","CHPS",NA
"2009-11-16","COFL",NA
"2009-11-16","CYBU",NA
"2009-11-16","DROO",NA
"2009-11-16","EEEEE",NA
"2009-11-16","FAER",NA
"2009-11-16","FISH",NA
"2009-11-16","HELT",NA
"2009-11-16","HUW",NA
"2009-11-16","KAUF",NA
"2009-11-16","KBAT",NA
"2009-11-16","KSON",NA
"2009-11-16","LDSC",NA
"2009-11-16","LUPE",NA
"2009-11-16","MPC",NA
"2009-11-16","MYNC",NA
"2009-11-16","NAKR",NA
"2009-11-16","NATN",NA
"2009-11-16","PDSS",NA
"2009-11-16","PEOP",NA
"2009-11-16","POWR",NA
"2009-11-16","SHRX",NA
"2009-11-16","SKBD",NA
"2009-11-16","SKEI",NA
"2009-11-16","SMUG",NA
"2009-11-16","SSS",NA
"2009-11-16","STFP",NA
"2009-11-16","SWNC",NA
"2009-11-16","TAG",NA
"2009-11-16","TNAH",NA
"2009-11-16","TNPT",NA
"2009-11-16","TPEG",NA
"2009-11-16","TPP",NA
"2009-11-16","TSRC",NA
"2009-11-16","UNIB",NA
"2009-11-16","VPTS",NA
"2009-11-16","YIPP",NA
"2009-11-17","AAVL",NA
"2009-11-17","ACFI",NA
"2009-11-17","BB",NA
"2009-11-17","BOTT",NA
"2009-11-17","BUZZ",NA
"2009-11-17","CHIA",NA
"2009-11-17","CHPS",NA
"2009-11-17","COFL",NA
"2009-11-17","CYBU",NA
"2009-11-17","DROO",NA
"2009-11-17","EEEEE",NA
"2009-11-17","FAER",NA
"2009-11-17","FISH",NA
"2009-11-17","HELT",NA
"2009-11-17","HUW",NA
"2009-11-17","KAUF",NA
"2009-11-17","KBAT",NA
"2009-11-17","KSON",NA
"2009-11-17","LDSC",NA
"2009-11-17","LUPE",NA
"2009-11-17","MPC",NA
"2009-11-17","MYNC",NA
"2009-11-17","NAKR",NA
"2009-11-17","NATN",NA
"2009-11-17","PDSS",NA
"2009-11-17","PEOP",NA
"2009-11-17","POWR",NA
"2009-11-17","SHRX",NA
"2009-11-17","SKBD",NA
"2009-11-17","SKEI",NA
"2009-11-17","SMUG",NA
"2009-11-17","SSS",NA
"2009-11-17","STFP",NA
"2009-11-17","SWNC",NA
"2009-11-17","TAG",NA
"2009-11-17","TNAH",NA
"2009-11-17","TNPT",NA
"2009-11-17","TPEG",NA
"2009-11-17","TPP",NA
"2009-11-17","TSRC",NA
"2009-11-17","UNIB",NA
"2009-11-17","VPTS",NA
"2009-11-17","YIPP",NA
"2009-11-18","AAVL",NA
"2009-11-18","ACFI",NA
"2009-11-18","BB",NA
"2009-11-18","BOTT",NA
"2009-11-18","BUZZ",NA
"2009-11-18","CHIA",NA
"2009-11-18","CHPS",NA
"2009-11-18","COFL",NA
"2009-11-18","CYBU",NA
"2009-11-18","DROO",NA
"2009-11-18","EEEEE",NA
"2009-11-18","FAER",NA
"2009-11-18","FISH",NA
"2009-11-18","HELT",NA
"2009-11-18","HUW",NA
"2009-11-18","KAUF",NA
"2009-11-18","KBAT",NA
"2009-11-18","KSON",NA
"2009-11-18","LDSC",NA
"2009-11-18","LUPE",NA
"2009-11-18","MPC",NA
"2009-11-18","MYNC",NA
"2009-11-18","NAKR",NA
"2009-11-18","NATN",NA
"2009-11-18","PDSS",NA
"2009-11-18","PEOP",NA
"2009-11-18","POWR",NA
"2009-11-18","SHRX",NA
"2009-11-18","SKBD",NA
"2009-11-18","SKEI",NA
"2009-11-18","SMUG",NA
"2009-11-18","SSS",NA
"2009-11-18","STFP",NA
"2009-11-18","SWNC",NA
"2009-11-18","TAG",NA
"2009-11-18","TNAH",NA
"2009-11-18","TNPT",NA
"2009-11-18","TPEG",NA
"2009-11-18","TPP",NA
"2009-11-18","TSRC",NA
"2009-11-18","UNIB",NA
"2009-11-18","VPTS",NA
"2009-11-18","YIPP",NA
"2009-11-19","AAVL",NA
"2009-11-19","ACFI",NA
"2009-11-19","BB",NA
"2009-11-19","BOTT",NA
"2009-11-19","BUZZ",NA
"2009-11-19","CHIA",NA
"2009-11-19","CHPS",NA
"2009-11-19","COFL",NA
"2009-11-19","CYBU",NA
"2009-11-19","DROO",NA
"2009-11-19","EEEEE",NA
"2009-11-19","FAER",NA
"2009-11-19","FISH",NA
"2009-11-19","HELT",NA
"2009-11-19","HUW",NA
"2009-11-19","KAUF",NA
"2009-11-19","KBAT",NA
"2009-11-19","KSON",NA
"2009-11-19","LDSC",NA
"2009-11-19","LUPE",NA
"2009-11-19","MPC",NA
"2009-11-19","MYNC",NA
"2009-11-19","NAKR",NA
"2009-11-19","NATN",NA
"2009-11-19","PDSS",NA
"2009-11-19","PEOP",NA
"2009-11-19","POWR",NA
"2009-11-19","SHRX",NA
"2009-11-19","SKBD",NA
"2009-11-19","SKEI",NA
"2009-11-19","SMUG",NA
"2009-11-19","SSS",NA
"2009-11-19","STFP",NA
"2009-11-19","SWNC",NA
"2009-11-19","TAG",NA
"2009-11-19","TNAH",NA
"2009-11-19","TNPT",NA
"2009-11-19","TPEG",NA
"2009-11-19","TPP",NA
"2009-11-19","TSRC",NA
"2009-11-19","UNIB",NA
"2009-11-19","VPTS",NA
"2009-11-19","YIPP",NA
"2009-11-20","AAVL",NA
"2009-11-20","ACFI",NA
"2009-11-20","BB",NA
"2009-11-20","BOTT",NA
"2009-11-20","BUZZ",NA
"2009-11-20","CHIA",NA
"2009-11-20","CHPS",NA
"2009-11-20","COFL",NA
"2009-11-20","CYBU",NA
"2009-11-20","DROO",NA
"2009-11-20","EEEEE",NA
"2009-11-20","FAER",NA
"2009-11-20","FISH",NA
"2009-11-20","HELT",NA
"2009-11-20","HUW",NA
"2009-11-20","KAUF",NA
"2009-11-20","KBAT",NA
"2009-11-20","KSON",NA
"2009-11-20","LDSC",NA
"2009-11-20","LUPE",NA
"2009-11-20","MPC",NA
"2009-11-20","MYNC",NA
"2009-11-20","NAKR",NA
"2009-11-20","NATN",NA
"2009-11-20","PDSS",NA
"2009-11-20","PEOP",NA
"2009-11-20","POWR",NA
"2009-11-20","SHRX",NA
"2009-11-20","SKBD",NA
"2009-11-20","SKEI",NA
"2009-11-20","SMUG",NA
"2009-11-20","SSS",NA
"2009-11-20","STFP",NA
"2009-11-20","SWNC",NA
"2009-11-20","TAG",NA
"2009-11-20","TNAH",NA
"2009-11-20","TNPT",NA
"2009-11-20","TPEG",NA
